participant,week,platform,hrs_spent,op,percep,rec,use
1,1,twitter,0,4,1,3,1
1,2,twitter,0,4,1,3,1
1,3,twitter,0,4,1,3,1
1,1,youtube,5,4,7,6,5
1,2,youtube,5,4,7,6,5
1,3,youtube,10,4,7,6,5
1,1,pinterest,0,3,1,2,1
1,2,pinterest,0,3,1,2,1
1,3,pinterest,0,3,1,2,1
1,1,facebook,1,3,1,3,2
1,2,facebook,0,3,1,3,2
1,3,facebook,0,3,1,3,2
1,1,instagram,8,4,7,6,6
1,2,instagram,10,4,7,6,6
1,3,instagram,6,4,7,6,6
1,1,snapchat,8,4,7,6,6
1,2,snapchat,6,4,7,6,6
1,3,snapchat,8,4,7,6,6
2,1,pinterest,0,3,1,3,1
2,2,pinterest,0,3,1,3,1
2,3,pinterest,0,3,1,3,1
2,1,youtube,5,5,5,7,6
2,2,youtube,0,5,5,7,6
2,3,youtube,4,5,5,7,6
2,1,snapchat,1,4,4,7,6
2,2,snapchat,17,4,4,7,6
2,3,snapchat,10,4,4,7,6
2,1,facebook,5,4,2,4,5
2,2,facebook,0,4,2,4,5
2,3,facebook,1,4,2,4,5
2,1,instagram,10,5,5,7,6
2,2,instagram,17,5,5,7,6
2,3,instagram,24,5,5,7,6
2,1,twitter,1,5,6,7,6
2,2,twitter,1,5,6,7,6
2,3,twitter,1,5,6,7,6
3,1,snapchat,10,2,5,5,6
3,2,snapchat,3,2,5,5,6
3,3,snapchat,5,2,5,5,6
3,1,youtube,20,2,7,7,6
3,2,youtube,10,2,7,7,6
3,3,youtube,10,2,7,7,6
3,1,instagram,3,3,4,4,4
3,2,instagram,2,3,4,4,4
3,3,instagram,1,3,4,4,4
3,1,pinterest,0,3,1,1,1
3,2,pinterest,0,3,1,1,1
3,3,pinterest,0,3,1,1,1
3,1,facebook,0,1,1,1,1
3,2,facebook,0,1,1,1,1
3,3,facebook,0,1,1,1,1
3,1,twitter,2,4,4,6,3
3,2,twitter,1,4,4,6,3
3,3,twitter,0,4,4,6,3
4,1,instagram,15,4,7,7,6
4,2,instagram,21,4,7,7,6
4,3,instagram,23,4,7,7,6
4,1,twitter,0,4,3,7,4
4,2,twitter,2,4,3,7,4
4,3,twitter,2,4,3,7,4
4,1,facebook,1,3,3,5,3
4,2,facebook,1,3,3,5,3
4,3,facebook,5,3,3,5,3
4,1,pinterest,0,3,1,3,2
4,2,pinterest,0,3,1,3,2
4,3,pinterest,16,3,1,3,2
4,1,youtube,11,3,7,5,6
4,2,youtube,14,3,7,5,6
4,3,youtube,20,3,7,5,6
4,1,snapchat,10,4,5,7,6
4,2,snapchat,20,4,5,7,6
4,3,snapchat,20,4,5,7,6
5,1,twitter,13,5,5,7,4
5,2,twitter,5,5,5,7,4
5,3,twitter,3,5,5,7,4
5,1,pinterest,0,3,1,4,1
5,2,pinterest,0,3,1,4,1
5,3,pinterest,0,3,1,4,1
5,1,youtube,8,5,6,7,4
5,2,youtube,11,5,6,7,4
5,3,youtube,6,5,6,7,4
5,1,instagram,3,4,3,5,4
5,2,instagram,2,4,3,5,4
5,3,instagram,1,4,3,5,4
5,1,facebook,0,3,1,4,1
5,2,facebook,0,3,1,4,1
5,3,facebook,0,3,1,4,1
5,1,snapchat,19,5,5,7,5
5,2,snapchat,3,5,5,7,5
5,3,snapchat,3,5,5,7,5
6,1,facebook,0,4,3,1,2
6,2,facebook,0,4,3,1,2
6,3,facebook,0,4,3,1,2
6,1,pinterest,0,4,2,2,1
6,2,pinterest,0,4,2,2,1
6,3,pinterest,0,4,2,2,1
6,1,twitter,0,2,1,1,1
6,2,twitter,0,2,1,1,1
6,3,twitter,0,2,1,1,1
6,1,youtube,5,5,5,7,4
6,2,youtube,5,5,5,7,4
6,3,youtube,3,5,5,7,4
6,1,snapchat,0,2,1,1,1
6,2,snapchat,0,2,1,1,1
6,3,snapchat,0,2,1,1,1
6,1,instagram,8,4,3,5,5
6,2,instagram,4.5,4,3,5,5
6,3,instagram,3,4,3,5,5
7,1,snapchat,0,3,1,3,1
7,2,snapchat,0,3,1,3,1
7,3,snapchat,0,3,1,3,1
7,1,pinterest,1,3,2,7,3
7,2,pinterest,1,3,2,7,3
7,3,pinterest,1,3,2,7,3
7,1,twitter,1,3,2,5,4
7,2,twitter,1,3,2,5,4
7,3,twitter,1,3,2,5,4
7,1,facebook,1,3,2,5,3
7,2,facebook,1,3,2,5,3
7,3,facebook,1,3,2,5,3
7,1,instagram,2,3,2,5,4
7,2,instagram,1,3,2,5,4
7,3,instagram,1,3,2,5,4
7,1,youtube,1,3,2,5,3
7,2,youtube,2,3,2,5,3
7,3,youtube,1,3,2,5,3
8,1,snapchat,10,5,6,6,4
8,2,snapchat,30,5,6,6,4
8,3,snapchat,35,5,6,6,4
8,1,pinterest,0,3,1,1,1
8,2,pinterest,0,3,1,1,1
8,3,pinterest,0,3,1,1,1
8,1,twitter,0,3,1,4,1
8,2,twitter,0,3,1,4,1
8,3,twitter,0,3,1,4,1
8,1,facebook,0,2,1,1,1
8,2,facebook,0,2,1,1,1
8,3,facebook,0,2,1,1,1
8,1,instagram,20,5,7,7,6
8,2,instagram,40,5,7,7,6
8,3,instagram,40,5,7,7,6
8,1,youtube,5,4,6,6,3
8,2,youtube,5,4,6,6,3
8,3,youtube,2,4,6,6,3
9,2,youtube,10,4,5,6,6
9,2,twitter,1,4,4,6,6
9,2,snapchat,1,3,5,6,6
9,2,instagram,3,5,5,6,6
9,2,pinterest,1,5,7,7,6
9,2,facebook,2,4,4,6,5
10,1,instagram,15,5,4,6,4
10,2,instagram,15,5,4,6,4
10,3,instagram,12,5,4,6,4
10,1,snapchat,20,5,7,6,6
10,2,snapchat,20,5,7,6,6
10,3,snapchat,10,5,7,6,6
10,1,youtube,15,5,7,6,6
10,2,youtube,10,5,7,6,6
10,3,youtube,8,5,7,6,6
10,1,facebook,0,1,1,2,1
10,2,facebook,0,1,1,2,1
10,3,facebook,0,1,1,2,1
10,1,pinterest,1,5,3,6,3
10,2,pinterest,4,5,3,6,3
10,3,pinterest,6,5,3,6,3
10,1,twitter,0,3,1,3,1
10,2,twitter,0,3,1,3,1
10,3,twitter,0,3,1,3,1
11,1,instagram,0,4,1,2,1
11,2,instagram,0,4,1,2,1
11,3,instagram,0,4,1,2,1
11,1,pinterest,0,3,1,2,1
11,2,pinterest,0,3,1,2,1
11,3,pinterest,0,3,1,2,1
11,1,snapchat,0,3,1,1,1
11,2,snapchat,0,3,1,1,1
11,3,snapchat,0,3,1,1,1
11,1,twitter,0,4,1,2,1
11,2,twitter,0,4,1,2,1
11,3,twitter,1,4,1,2,1
11,1,youtube,0,5,7,7,4
11,2,youtube,1,5,7,7,4
11,3,youtube,1,5,7,7,4
11,1,facebook,1,4,4,5,4
11,2,facebook,1,4,4,5,4
11,3,facebook,2,4,4,5,4
12,2,snapchat,8,5,7,7,6
12,2,pinterest,0,3,1,1,1
12,2,youtube,20,5,7,7,6
12,2,instagram,8,5,7,7,6
12,2,twitter,0,3,1,1,1
12,2,facebook,0,1,1,1,1
13,1,twitter,0,2,7,2,1
13,2,twitter,0,2,7,2,1
13,1,instagram,2,5,3,7,6
13,2,instagram,2,5,3,7,6
13,1,facebook,0,3,7,4,1
13,2,facebook,0,3,7,4,1
13,1,snapchat,1,3,3,4,6
13,2,snapchat,2,3,3,4,6
13,1,youtube,3,4,1,7,6
13,2,youtube,5,4,1,7,6
13,1,pinterest,0,4,6,5,1
13,2,pinterest,0,4,6,5,1
14,1,twitter,0,3,1,4,1
14,2,twitter,0,3,1,4,1
14,3,twitter,0,3,1,4,1
14,1,instagram,3,4,4,7,6
14,2,instagram,3,4,4,7,6
14,3,instagram,2,4,4,7,6
14,1,facebook,0,1,1,1,1
14,2,facebook,0,1,1,1,1
14,3,facebook,0,1,1,1,1
14,1,pinterest,0,5,2,4,2
14,2,pinterest,0,5,2,4,2
14,3,pinterest,0,5,2,4,2
14,1,youtube,0,3,2,4,2
14,2,youtube,0,3,2,4,2
14,3,youtube,0,3,2,4,2
14,1,snapchat,5,5,4,7,6
14,2,snapchat,5,5,4,7,6
14,3,snapchat,1,5,4,7,6
15,1,pinterest,1,5,3,5,3
15,2,pinterest,1,5,3,5,3
15,3,pinterest,0,5,3,5,3
15,1,instagram,3,4,5,5,4
15,2,instagram,3,4,5,5,4
15,3,instagram,3,4,5,5,4
15,1,snapchat,3,5,7,7,6
15,2,snapchat,3,5,7,7,6
15,3,snapchat,3,5,7,7,6
15,1,youtube,3,5,7,7,5
15,2,youtube,3,5,7,7,5
15,3,youtube,3,5,7,7,5
15,1,facebook,3,5,7,7,6
15,2,facebook,3,5,7,7,6
15,3,facebook,3,5,7,7,6
15,1,twitter,0,3,1,4,1
15,2,twitter,1,3,1,4,1
15,3,twitter,1,3,1,4,1
16,2,twitter,2,5,6,7,5
16,3,twitter,2.5,5,6,7,5
16,2,instagram,1,2,7,6,6
16,3,instagram,3,2,7,6,6
16,2,youtube,2,4,4,5,3
16,3,youtube,1.5,4,4,5,3
16,2,snapchat,3,4,5,5,4
16,3,snapchat,3,4,5,5,4
16,2,facebook,0,3,2,4,2
16,3,facebook,1.5,3,2,4,2
16,2,pinterest,1,4,5,6,3
16,3,pinterest,0,4,5,6,3
17,1,twitter,1,4,3,6,4
17,2,twitter,1,4,3,6,4
17,3,twitter,1,4,3,6,4
17,1,pinterest,0,4,2,5,2
17,2,pinterest,0,4,2,5,2
17,3,pinterest,0,4,2,5,2
17,1,instagram,8,2,5,5,6
17,2,instagram,2,2,5,5,6
17,3,instagram,1,2,5,5,6
17,1,facebook,0,4,2,5,3
17,2,facebook,0,4,2,5,3
17,3,facebook,0,4,2,5,3
17,1,youtube,5,5,6,7,6
17,2,youtube,1,5,6,7,6
17,3,youtube,0,5,6,7,6
17,1,snapchat,2,2,5,5,6
17,2,snapchat,0,2,5,5,6
17,3,snapchat,0,2,5,5,6
18,1,twitter,1,4,4,6,3
18,2,twitter,1,4,4,6,3
18,3,twitter,1,4,4,6,3
18,1,instagram,1,5,5,7,3
18,2,instagram,1,5,5,7,3
18,3,instagram,1,5,5,7,3
18,1,pinterest,0,3,1,4,1
18,2,pinterest,0,3,1,4,1
18,3,pinterest,0,3,1,4,1
18,1,youtube,8,5,6,7,4
18,2,youtube,10,5,6,7,4
18,3,youtube,11,5,6,7,4
18,1,facebook,1,5,4,6,3
18,2,facebook,1,5,4,6,3
18,3,facebook,1,5,4,6,3
18,1,snapchat,0,3,1,4,1
18,2,snapchat,0,3,1,4,1
18,3,snapchat,0,3,1,4,1
19,2,instagram,47,4,6,7,6
19,3,instagram,32,4,6,7,6
19,2,twitter,0,3,1,1,1
19,3,twitter,0,3,1,1,1
19,2,youtube,1,3,1,1,1
19,3,youtube,0,3,1,1,1
19,2,facebook,0,3,1,1,1
19,3,facebook,0,3,1,1,1
19,2,pinterest,2,4,2,7,2
19,3,pinterest,0,4,2,7,2
19,2,snapchat,26,6,7,7,6
19,3,snapchat,26,6,7,7,6
20,1,snapchat,2,3,5,6,5
20,2,snapchat,3,3,5,6,5
20,3,snapchat,3,3,5,6,5
20,1,instagram,1,3,2,4,4
20,2,instagram,1,3,2,4,4
20,3,instagram,1,3,2,4,4
20,1,pinterest,0,3,1,1,1
20,2,pinterest,0,3,1,1,1
20,3,pinterest,0,3,1,1,1
20,1,youtube,0,3,3,4,4
20,2,youtube,2,3,3,4,4
20,3,youtube,0,3,3,4,4
20,1,facebook,0,3,1,1,1
20,2,facebook,0,3,1,1,1
20,3,facebook,0,3,1,1,1
20,1,twitter,0,3,1,1,1
20,2,twitter,0,3,1,1,1
20,3,twitter,0,3,1,1,1
21,1,pinterest,0,5,4,5,2
21,2,pinterest,0,5,4,5,2
21,3,pinterest,0,5,4,5,2
21,1,instagram,3,4,5,5,6
21,2,instagram,19,4,5,5,6
21,3,instagram,14,4,5,5,6
21,1,snapchat,1,4,5,5,6
21,2,snapchat,5,4,5,5,6
21,3,snapchat,4,4,5,5,6
21,1,youtube,2,5,6,6,6
21,2,youtube,4,5,6,6,6
21,3,youtube,2,5,6,6,6
21,1,twitter,0,5,7,6,6
21,2,twitter,4,5,7,6,6
21,3,twitter,7,5,7,6,6
21,1,facebook,0,3,3,4,4
21,2,facebook,2,3,3,4,4
21,3,facebook,4,3,3,4,4
22,2,instagram,3,4,3,5,3
22,3,instagram,6,4,3,5,3
22,2,twitter,0,2,1,3,1
22,3,twitter,0,2,1,3,1
22,2,pinterest,0,1,1,2,1
22,3,pinterest,0,1,1,2,1
22,2,snapchat,1,5,6,5,5
22,3,snapchat,2,5,6,5,5
22,2,facebook,0,2,2,3,2
22,3,facebook,0,2,2,3,2
22,2,youtube,15,5,7,7,6
22,3,youtube,8,5,7,7,6
23,1,twitter,2,5,5,6,6
23,2,twitter,2,5,5,6,6
23,3,twitter,2,5,5,6,6
23,1,snapchat,0,2,2,4,4
23,2,snapchat,1,2,2,4,4
23,3,snapchat,0,2,2,4,4
23,1,instagram,1,4,5,6,6
23,2,instagram,2,4,5,6,6
23,3,instagram,2,4,5,6,6
23,1,facebook,0,2,2,4,2
23,2,facebook,0,2,2,4,2
23,3,facebook,0,2,2,4,2
23,1,youtube,3,4,4,7,5
23,2,youtube,5,4,4,7,5
23,3,youtube,6,4,4,7,5
23,1,pinterest,1,5,7,6,6
23,2,pinterest,2,5,7,6,6
23,3,pinterest,1,5,7,6,6
24,1,facebook,0,3,1,1,1
24,2,facebook,0,3,1,1,1
24,3,facebook,0,3,1,1,1
24,1,twitter,0,3,1,1,1
24,2,twitter,0,3,1,1,1
24,3,twitter,0,3,1,1,1
24,1,snapchat,0,3,1,1,1
24,2,snapchat,0,3,1,1,1
24,3,snapchat,0,3,1,1,1
24,1,pinterest,0,3,1,1,1
24,2,pinterest,0,3,1,1,1
24,3,pinterest,0,3,1,1,1
24,1,youtube,15,4,6,6,4
24,2,youtube,30,4,6,6,4
24,3,youtube,30,4,6,6,4
24,1,instagram,0,3,1,1,1
24,2,instagram,0,3,1,1,1
24,3,instagram,0,3,1,1,1
25,1,snapchat,10,3,3,7,5
25,2,snapchat,20,3,3,7,5
25,3,snapchat,5,3,3,7,5
25,1,facebook,20,3,4,7,6
25,2,facebook,20,3,4,7,6
25,3,facebook,5,3,4,7,6
25,1,pinterest,0,4,2,6,1
25,2,pinterest,0,4,2,6,1
25,3,pinterest,0,4,2,6,1
25,1,instagram,20,3,4,7,6
25,2,instagram,20,3,4,7,6
25,3,instagram,5,3,4,7,6
25,1,twitter,0,3,1,1,1
25,2,twitter,0,3,1,1,1
25,3,twitter,0,3,1,1,1
25,1,youtube,5,4,3,7,2
25,2,youtube,20,4,3,7,2
25,3,youtube,5,4,3,7,2
26,1,snapchat,0,4,1,4,2
26,2,snapchat,0,4,1,4,2
26,3,snapchat,0,4,1,4,2
26,1,facebook,0,3,1,4,2
26,2,facebook,0,3,1,4,2
26,3,facebook,0,3,1,4,2
26,1,twitter,0,4,1,4,1
26,2,twitter,0,4,1,4,1
26,3,twitter,1,4,1,4,1
26,1,youtube,1,4,3,6,4
26,2,youtube,2,4,3,6,4
26,3,youtube,8,4,3,6,4
26,1,instagram,5,4,5,7,6
26,2,instagram,5,4,5,7,6
26,3,instagram,1,4,5,7,6
26,1,pinterest,0,3,1,4,1
26,2,pinterest,0,3,1,4,1
26,3,pinterest,0,3,1,4,1
27,1,snapchat,0,2,1,1,1
27,2,snapchat,0,2,1,1,1
27,3,snapchat,0,2,1,1,1
27,1,twitter,0,2,1,5,1
27,2,twitter,0,2,1,5,1
27,3,twitter,0,2,1,5,1
27,1,instagram,0,2,1,1,1
27,2,instagram,0,2,1,1,1
27,3,instagram,0,2,1,1,1
27,1,pinterest,0,3,1,1,1
27,2,pinterest,0,3,1,1,1
27,3,pinterest,0,3,1,1,1
27,1,facebook,0,3,2,4,1
27,2,facebook,0,3,2,4,1
27,3,facebook,0,3,2,4,1
27,1,youtube,34,5,7,7,6
27,2,youtube,112,5,7,7,6
27,3,youtube,91,5,7,7,6
28,1,youtube,6,4,5,7,4
28,2,youtube,0,4,5,7,4
28,3,youtube,4,4,5,7,4
28,1,pinterest,0,3,1,1,1
28,2,pinterest,0,3,1,1,1
28,3,pinterest,0,3,1,1,1
28,1,snapchat,12,5,6,7,4
28,2,snapchat,5,5,6,7,4
28,3,snapchat,9,5,6,7,4
28,1,twitter,9,5,4,7,4
28,2,twitter,2,5,4,7,4
28,3,twitter,5,5,4,7,4
28,1,instagram,10,5,4,7,4
28,2,instagram,7,5,4,7,4
28,3,instagram,10,5,4,7,4
28,1,facebook,0,3,1,4,1
28,2,facebook,0,3,1,4,1
28,3,facebook,0,3,1,4,1
29,1,facebook,0,3,1,4,1
29,2,facebook,0,3,1,4,1
29,3,facebook,0,3,1,4,1
29,1,pinterest,0,3,1,4,1
29,2,pinterest,0,3,1,4,1
29,3,pinterest,0,3,1,4,1
29,1,snapchat,5,4,6,6,5
29,2,snapchat,3,4,6,6,5
29,3,snapchat,4,4,6,6,5
29,1,instagram,9,4,6,6,5
29,2,instagram,7,4,6,6,5
29,3,instagram,4,4,6,6,5
29,1,youtube,8,4,5,6,5
29,2,youtube,5,4,5,6,5
29,3,youtube,4,4,5,6,5
29,1,twitter,1,3,2,3,3
29,2,twitter,1,3,2,3,3
29,3,twitter,1,3,2,3,3
30,1,snapchat,0,2,1,3,1
30,2,snapchat,0,2,1,3,1
30,3,snapchat,0,2,1,3,1
30,1,youtube,18,1,2,5,1
30,2,youtube,14,1,2,5,1
30,3,youtube,12,1,2,5,1
30,1,instagram,0,3,1,3,1
30,2,instagram,0,3,1,3,1
30,3,instagram,0,3,1,3,1
30,1,twitter,0,3,1,4,1
30,2,twitter,0,3,1,4,1
30,3,twitter,0,3,1,4,1
30,1,facebook,0,3,1,4,1
30,2,facebook,0,3,1,4,1
30,3,facebook,0,3,1,4,1
30,1,pinterest,0,3,1,4,2
30,2,pinterest,0,3,1,4,2
30,3,pinterest,0,3,1,4,2
31,1,facebook,0,1,1,1,1
31,2,facebook,0,1,1,1,1
31,3,facebook,0,1,1,1,1
31,1,snapchat,0,2,1,1,1
31,2,snapchat,0,2,1,1,1
31,3,snapchat,0,2,1,1,1
31,1,instagram,0,3,2,5,2
31,2,instagram,1,3,2,5,2
31,3,instagram,0,3,2,5,2
31,1,pinterest,0,4,2,5,2
31,2,pinterest,0,4,2,5,2
31,3,pinterest,0,4,2,5,2
31,1,youtube,7,3,6,5,6
31,2,youtube,7,3,6,5,6
31,3,youtube,3,3,6,5,6
31,1,twitter,14,3,5,5,6
31,2,twitter,8,3,5,5,6
31,3,twitter,14,3,5,5,6
32,1,facebook,0,3,1,4,1
32,2,facebook,0,3,1,4,1
32,3,facebook,0,3,1,4,1
32,1,twitter,0,3,1,1,1
32,2,twitter,0,3,1,1,1
32,3,twitter,0,3,1,1,1
32,1,youtube,20,5,7,7,6
32,2,youtube,6,5,7,7,6
32,3,youtube,3,5,7,7,6
32,1,instagram,20,4,6,7,6
32,2,instagram,7,4,6,7,6
32,3,instagram,4,4,6,7,6
32,1,snapchat,3,3,6,5,3
32,2,snapchat,3,3,6,5,3
32,3,snapchat,2,3,6,5,3
32,1,pinterest,5,5,6,7,4
32,2,pinterest,2,5,6,7,4
32,3,pinterest,1,5,6,7,4
33,3,snapchat,25,4,5,6,6
33,3,pinterest,0,2,3,4,2
33,3,instagram,25,5,4,6,6
33,3,facebook,0,2,2,5,4
33,3,youtube,3,4,5,5,6
33,3,twitter,0,2,4,6,6
34,2,youtube,3,4,4,5,4
34,3,youtube,5,4,4,5,4
34,2,snapchat,3,3,2,4,3
34,3,snapchat,0,3,2,4,3
34,2,twitter,0,3,1,4,1
34,3,twitter,0,3,1,4,1
34,2,instagram,6,2,4,5,4
34,3,instagram,7,2,4,5,4
34,2,facebook,0,3,1,4,1
34,3,facebook,0,3,1,4,1
34,2,pinterest,0,4,4,6,3
34,3,pinterest,1,4,4,6,3
35,1,twitter,0,3,1,1,1
35,2,twitter,0,3,1,1,1
35,3,twitter,0,3,1,1,1
35,1,pinterest,5,5,5,6,4
35,2,pinterest,9,5,5,6,4
35,3,pinterest,7,5,5,6,4
35,1,youtube,2,4,2,6,4
35,2,youtube,8,4,2,6,4
35,3,youtube,0,4,2,6,4
35,1,facebook,2,4,5,6,4
35,2,facebook,3,4,5,6,4
35,3,facebook,1,4,5,6,4
35,1,snapchat,3,5,5,6,4
35,2,snapchat,6,5,5,6,4
35,3,snapchat,4,5,5,6,4
35,1,instagram,3,5,5,5,4
35,2,instagram,3,5,5,5,4
35,3,instagram,2,5,5,5,4
36,1,facebook,2,3,4,5,3
36,2,facebook,5,3,4,5,3
36,3,facebook,5,3,4,5,3
36,1,instagram,3,3,4,4,3
36,2,instagram,5,3,4,4,3
36,3,instagram,5,3,4,4,3
36,1,twitter,0,2,1,1,1
36,2,twitter,0,2,1,1,1
36,3,twitter,0,2,1,1,1
36,1,pinterest,0,3,2,5,2
36,2,pinterest,1,3,2,5,2
36,3,pinterest,0,3,2,5,2
36,1,youtube,0,3,5,7,3
36,2,youtube,1,3,5,7,3
36,3,youtube,1,3,5,7,3
36,1,snapchat,1,3,4,7,3
36,2,snapchat,1,3,4,7,3
36,3,snapchat,0,3,4,7,3
37,1,snapchat,1,4,6,6,6
37,2,snapchat,1,4,6,6,6
37,3,snapchat,1,4,6,6,6
37,1,pinterest,0,3,1,1,1
37,2,pinterest,0,3,1,1,1
37,3,pinterest,0,3,1,1,1
37,1,facebook,1,2,5,6,3
37,2,facebook,1,2,5,6,3
37,3,facebook,1,2,5,6,3
37,1,twitter,0,3,1,4,1
37,2,twitter,0,3,1,4,1
37,3,twitter,0,3,1,4,1
37,1,instagram,3,4,6,6,6
37,2,instagram,2,4,6,6,6
37,3,instagram,1,4,6,6,6
37,1,youtube,2,3,6,6,4
37,2,youtube,0,3,6,6,4
37,3,youtube,0,3,6,6,4
38,1,instagram,0,2,1,1,1
38,2,instagram,0,2,1,1,1
38,3,instagram,0,2,1,1,1
38,1,youtube,20,5,7,7,6
38,2,youtube,9,5,7,7,6
38,3,youtube,9,5,7,7,6
38,1,snapchat,0,4,2,1,2
38,2,snapchat,0,4,2,1,2
38,3,snapchat,0,4,2,1,2
38,1,pinterest,0,2,1,1,1
38,2,pinterest,0,2,1,1,1
38,3,pinterest,0,2,1,1,1
38,1,facebook,0,4,1,3,2
38,2,facebook,0,4,1,3,2
38,3,facebook,0,4,1,3,2
38,1,twitter,6,5,7,7,6
38,2,twitter,4,5,7,7,6
38,3,twitter,2,5,7,7,6
39,1,youtube,3,5,3,7,3
39,2,youtube,2,5,3,7,3
39,3,youtube,0,5,3,7,3
39,1,twitter,6,5,7,7,4
39,2,twitter,9,5,7,7,4
39,3,twitter,2,5,7,7,4
39,1,pinterest,0,5,3,6,2
39,2,pinterest,0,5,3,6,2
39,3,pinterest,0,5,3,6,2
39,1,facebook,0,5,1,5,1
39,2,facebook,0,5,1,5,1
39,3,facebook,0,5,1,5,1
39,1,instagram,4,5,6,7,4
39,2,instagram,8,5,6,7,4
39,3,instagram,2,5,6,7,4
39,1,snapchat,7,5,7,7,4
39,2,snapchat,20,5,7,7,4
39,3,snapchat,2,5,7,7,4
41,1,twitter,0,3,1,4,1
41,2,twitter,0,3,1,4,1
41,3,twitter,0,3,1,4,1
41,1,youtube,4,4,6,7,3
41,2,youtube,2,4,6,7,3
41,3,youtube,1,4,6,7,3
41,1,instagram,0,4,1,4,1
41,2,instagram,0,4,1,4,1
41,3,instagram,0,4,1,4,1
41,1,pinterest,0,3,1,4,1
41,2,pinterest,0,3,1,4,1
41,3,pinterest,0,3,1,4,1
41,1,facebook,0,1,1,4,1
